"id","abbreviation","fullform","type","publication_id"
"1806","TCND (aka Turin Drehem; TCNS Drehem) "," A. Archi and F. Pomponio, Testi cuneiformi neo-sumerici da Drehem, n. 0001-0412, Catalogo del Museo Egizio di Torino, Ser. II, 7, Torino 1990   ",NULL,NULL
"1807","TCNU (aka Turin Umma) "," A. Archi, F. Pomponio, G. Bergamini. Testi Cuneiformi Neo-Sumerici da Umma, NN. 0413-1723. Catalogo del Museo Egizio di Torino. Serie seconda. Collezioni 8. (Torino  Ministero per I beni culturali e ambientali, 1995)  ",NULL,NULL
"1808","TCS "," Texts from Cuneiform Sources (New York 1966 ff.)   ",NULL,NULL
"1809","TCTI 1 (aka Lafont-Yildiz Tello Istanbul, B. LaFont, F. Yildiz TCTMI) "," Bertrand Lafont and Fatma Yildiz, Tablettes cunéiformes de Tello au Musée d'Istanbul  datant de l'époque de la IIIe Dynastie d'Ur. Tome I. ITT II/1, 617-1038. PIHANS 65. (Leiden, Nederlands Instituut voor het Nabije Oosten, 1989)  ",NULL,NULL
"1810","TCTI 2 "," Bertrand Lafont and Fatma Yildiz, Tablettes cunéiformes de Tello au Musée d'Istanbul, datant de l'époque de la IIIe Dynastie d'Ur. Tome II. ITT II/1, 2544-2819, 3158-4342, 4708-4714. PIHANS 77. (Leiden, Nederlands Instituut voor het Nabije Oosten, 1996)   ",NULL,NULL
"1811","TCUR "," L. Boulay, Mémoire sur des Tablettes de la 3e Dynastie d’Ur à Rouen (Rouen 1920)   ",NULL,NULL
"1812","TCVC "," A. Archi, F. Pomponio and M. Stol, Testi cuneiformi di vario contenuto, NN. 0724-0793, Catalogo del Museo Egizio di Torino, Serie Seconda, Collezioni, vol. 9 (Torino 1999)   ",NULL,NULL
"1813","TDP "," R. Labat, Traité Akkadien de Diagnostics et Pronostics Médicaux, Paris à Leiden 1951.   ",NULL,NULL
"1814","Teachers and Students "," C.J. Gadd, Teachers and Students in the Oldest Schools   ",NULL,NULL
"1815","TEBA "," M. Birot, Tablettes économiques et administratives d'époque babylonienne ancienne conservées au Musée d'art et d'histoire de Genève (Paris nd [1969])   ",NULL,NULL
"1816","TEBR "," F. Joannès, Textes économiques de la Babylonie récente (= ERC Cah. 5, 1982)   ",NULL,NULL
"1817","TEL (aka TÉL) "," C. Virolleaud/M. Lambert, Tablettes écomomiques de Lagash (Paris 1968)   ",NULL,NULL
"1818","Tel Aviv "," Tel Aviv. Journal of the Tel Aviv University Institute of Archaeology (Tel Aviv 1974 ff.)   ",NULL,NULL
"1819","Tell ed-Der "," Dietz Otto Edzard, Altbabylonische Rechts- und Wirtschaftsturkunden aus TeIl ed-Der (= ABAW NF72, 1970)   ",NULL,NULL
"1820","Tell Halaf "," Johannes Friedrich et al., AfO Beiheft 6   ",NULL,NULL
"1821","Tell Sifr "," Ch.-F.Jean, Tell Sifr … (Textes cuneiformes conserves au British Museum, reedites)(Paris 1931)   ",NULL,NULL
"1822","Tello "," A. Parrot, Tello, vingt campagnes de fouilles (1877-1933) (Paris 1948)   ",NULL,NULL
"1823","Temple Hymns "," lit. comp.; Å.W. Sjöberg, TCS 3; rev. ms. Å.W. Sjöberg   ",NULL,NULL
"1824","term. "," terminative   ",NULL,NULL
"1825","Ternbach Collection "," Merhav, R. 1981   ",NULL,NULL
"1826","Textes Scolaires "," A. Cavigneaux, Textes Scolaires du temple de Nabu sha Hare, vol. 1   ",NULL,NULL
"1827","Textile Terminologies "," C. Michel & M.-L. Nosch (eds.), Textile Terminologies in the Ancient Near East and Mediterranean from the third to the first Millennia BC (Oxford 2010)   ",NULL,NULL
"1828","THeth. "," Texte der Hethiter (Heidelberg 1971 ff.)   ",NULL,NULL
"1829","TI "," S. Langdon, Tammuz and Ishtar (Oxford 1914)   ",NULL,NULL
"1830","Tierbilder "," W. Heimpel, Tierbilder in der sumerischen Literatur (= Studia Pohl 2)   ",NULL,NULL
"1831","TigI. III. "," P. Rost, Die Keilschrifttexte Tiglat-Pilesers III. (Leipzig 1893)   ",NULL,NULL
"1832","TIM "," Texts in the Iraq Museum (Baghdad/Wiesbaden 1964 ff.)   ",NULL,NULL
"1833","Timekeeping "," R. Englund, Administrative Timekeeping in Ancient Mesopotamia, JESHOI 31 (1988) 121-185   ",NULL,NULL
"1834","TJA (aka TJAUB) "," E. Szlechter, Tablettes juridiques et administratives de la IIIe dynastie d'Ur et de la Ire Dynastie de Babylone … (Paris 1963)   ",NULL,NULL
"1835","TJDB "," E. Szlechter, Tablettes juridiques de la Ire dynastie de Babylone conservées au Musée d'Art et d'Histoire de Genève (Paris 1958)   ",NULL,NULL
"1836","TKTA "," Transliterationen und Kollationen von Texten der Akkade-Zeit; http //www.uni-marburg.de/altorientalistik/tkta.html  ",NULL,NULL
"1837","TKU "," W. Kless/H. Hatuptmann, Topographische Karte von Urartu (= AMI Erg. Bd. [NF] 3,1976)   ",NULL,NULL
"1838","TLB "," Tabulae Cuneiformes a F.M.Th. de Liagre BöhI collectae (Leiden 1954 ff.)   ",NULL,NULL
"1839","TM "," Find siglum Tell Mardikh   ",NULL,NULL
"1840","TMH (aka TuM, TMH NF, TMHNF) "," Texte und Materialien der Frau Professor Hilprecht Collection . . . Jena, (Leipzig 1932-1934); NF = Neue Folge (Leipzig 1937, Berlin 1961 ff.)   ",NULL,NULL
"1841","TMN "," C. Proust, Tablettes mathématiques de Nippur (=Varia Anatolica 18; Istanbul 2007)   ",NULL,NULL
"1842","TMO "," Travaux de la Maison de l'Orient (Lyon 1981 ff.); série archéologique   ",NULL,NULL
"1843","TN "," temple name   ",NULL,NULL
"1844","TN "," L. W. King, Records of the Reign of Tukulti-Ninib I (London 1904)   ",NULL,NULL
"1845","Tokyo SAG- tablet "," lex. series; M. Yoshikawa and E. Matsushima, Orient 23/2, lff; MSL SS 1, 28ff.   ",NULL,NULL
"1846","Töpfer "," W. Sallaberger, Der babylonische Töpfer und seine Gefäse   ",NULL,NULL
"1847","Topographical "," A.R. George, Babylonian Topographical Texts (= 0LA 40)   ",NULL,NULL
"1848","TPAK "," C. Michel & P. Garelli, Tablettes paléo-assyriennes de Kültepe (Paris, 1997)   ",NULL,NULL
"1849","TR "," Tablet siglum for texts from Tell al-Rimah   ",NULL,NULL
"1850","transcr. "," transcribed, transcription   ",NULL,NULL
"1851","transl. "," translated, translation   ",NULL,NULL
"1852","translit. "," tranliterated, transliteration   ",NULL,NULL
"1853","TrDr (aka Trouvaille) "," H. de Génouillac, La trouvaille de Dréhem (Paris 1911)   ",NULL,NULL
"1854","Treasures "," Th. Jacobsen, The Treasures of Darkness   ",NULL,NULL
"1855","Tree and Reed "," lit. comp.; ms. M. Civil   ",NULL,NULL
"1856","Trois Aspects "," Y. Rosengarten, Trois aspects de la pensee religieuse sumerienne   ",NULL,NULL
"1857","TRS "," H. de Genouillac, Textes religieux sumériens du Louvre (= TCL 15/16, 1930)   ",NULL,NULL
"1858","TRU (aka Legrain TRU) "," L. Legrain, Le temps des rois d'Ur (= Bibliothèque de l'École des Hautes Études 199, Paris 1912)   ",NULL,NULL
"1859","TSA (aka de Genouillac TSA) "," H. de Genouillac, Tablettes sumeriennes archaiques   ",NULL,NULL
"1860","TSO "," Texte und Studien zur Orientalistik, Hildesheim   ",NULL,NULL
"1861","Tsouparopoulou 2008 "," C. Tsouparopoulou, The Material Face of Bureaucracy  Writing, Sealing and Archiving Tablets for the Ur III State at Drehem (Cambridge PhD dissertation 2008)  ",NULL,NULL
"1862","TSS (aka Jestin Shuruppak, TS&Scaron;) "," R. Jestin, Tablettes sumériennes de Shuruppak conservées au Musée de Stamboul (Paris 1937)   ",NULL,NULL
"1863","TSU (aka Limet Ur III Brussels) "," H. Limet, Textes sumeriens de la IIIe dynastie d'Ur   ",NULL,NULL
"1864","TTAED "," Türk Tarih Arkeologya ve Etnografya Dergisi (Istanbul)   ",NULL,NULL
"1865","TTKY "," Türk Tarih Kurumu Yayinlari (Ankara 1935 ff.)   ",NULL,NULL
"1866","TU "," F. Thureau-Dangin, Tablettes d'Uruk (= TCL 6, 1922)   ",NULL,NULL
"1867","TUAT "," Texte aus der Umwelt des Alten Testaments (Gütersloh 1982 ff.)   ",NULL,NULL
"1868","TuL "," E. Ebeling, Tod und Leben nach den Vorstellungen der Babylonier   ",NULL,NULL
"1869","Tummal Inscr. "," lit. comp.; E. Sollberger, JCS 16, 40ff; Ali Letters 99ff. B 9  ",NULL,NULL
"1870","Türen (aka A. Salonen, Türen) "," A. Salonen, Die Türen des alten Mesopotamien (Helsinki 1961), (= AASF B 124)   ",NULL,NULL
"1871","TuT (aka Telloh, TUT) "," G. Reisner, Tempelurkunden aus Telloh (Berlin 1901)   ",NULL,NULL
"1872","TUU (aka Umma, H. Sauren TUU, Topographie) "," H. Sauren, Topographie der Provinz Umma nach den Urkunden der Zeit der III. Dynastie von Ur, I  Kanäle und Bewässerungsanlagen (diss., Heidelberg 1966)  ",NULL,NULL
"1873","Sumerian Letters (aka Two Coll.; Letters.) "," F.A. Ali, Sumerian Letters  Two Collections from the Old Babylonian Schools (diss., Univ. of Pennsylvania)  ",NULL,NULL
"1874","Two Elegies "," lit. comp.; S.N. Kramer, Two Elegies on a Pushkin Museum Tablet; Å.W. Sjöberg, JAOS 103, 315ff. (first elegy)   ",NULL,NULL
"1875","Two Scribes "," lit. comp.; ms. M. Civil; rev. ms. S.J. Tinney   ",NULL,NULL
"1876","Two Women A "," lit comp.; BE 31, 36 and dupls.; ms. A. Cavigneaux   ",NULL,NULL
"1877","Two Women B "," lit. comp.; BE 31,28 and dupls.; ms. M. Civil   ",NULL,NULL
"1878","U "," Find siglum, Ur (London/Philadelphia/Baghdad)   ",NULL,NULL
"1879","UAVA "," Untersuchtungen zur Assyriologie und Vorderasiatischen Archäologie. Ergänzuingsbände zu ZA (Berlin 196o ff.)   ",NULL,NULL
"1880","UCLM "," tablets in the collection of the Robert H. Lowie Museum of Anthropology of the Univ. of California at Berkeley   ",NULL,NULL
"1881","UCP "," University of California Publications in Semitic Philology (Berkeley 1907 ff.); s. NESt.   ",NULL,NULL
"1882","UCP 9/2 (aka STR) "," H. E. Lutz, Sumerian Temple Records of the Late Ur Dynasty (= UCP 9/2, 1928)   ",NULL,NULL
"1883","UCU "," M. Widell, The Administrative and Economic Ur III Texts from the City of Ur (Piscataway 2003)   ",NULL,NULL
"1884","UDT "," J. Nies, Ur Dynasty Tablets (= AB 25, 1920)   ",NULL,NULL
"1885","Udughul OB "," incantation series; M. Geller, FAOS 12   ",NULL,NULL
"1886","UE "," Ur Excavations. Publications of the Joint Expedition of the British Museum and the Museum of the University of Pennsylvania to Mesopotamie (Oxford/Philadelphia 1927 ff.)   ",NULL,NULL
"1887","UET "," Ur Excavations. Texts (London 1928 ff.)   ",NULL,NULL
"1888","UET 2 supp (aka UET 2 Sp) "," Amedeo Alberti and Francesco Pomponio, Pre-Sargonic and Sargonic texts from Ur edited in UET 2, Supplement (= Studia Pohl SM 13)   ",NULL,NULL
"1889","UF (aka UgaritForsch) "," Ugarit-Forschungen (Kevelaer/Neukirchen-Vluyn 1969 ff.)   ",NULL,NULL
"1890","Ugaritica (aka Ug) "," Ugaritica. Mission de Ras Shamra (Paris 1939-1978)   ",NULL,NULL
"1891","UGASL (aka G.J. Selz, UGASL) "," G. J. Selz, Untersuchungen zur Götterwelt des altsumerischen Stadtstaates von Lagash, OPSNKF 13 (Philadelphia 1995)   ",NULL,NULL
"1892","Ugumu "," lex. series ugu-mu; MSL 9, 51ff.   ",NULL,NULL
"1893","UHF "," M.J. Geller, Forerunners to Udug-hul (= FAOS 12)   ",NULL,NULL
"1894","UIOM "," tablets in the collections of the Univ. of Illinois Oriental Museum   ",NULL,NULL
"1895","UKN "," O. Melikishvili, Urartskie klinoobraznye nadpisi (Moskau 1960); II (= VDI 3, 1971, pp. 229-255)   ",NULL,NULL
"1896","UM "," Tablet siglum of the University Museum, Philadelphia   ",NULL,NULL
"1897","Umma "," G. Contenau, Umma sous la dynaste d'Ur 1916   ",NULL,NULL
"1898","UMT (aka Unger Mem. Vol.) "," In Memoriam Eckhard Unger  Beitrage zu Geschichte, Kultur und Religion des alten Orient  ",NULL,NULL
"1899","unil. "," unilingual   ",NULL,NULL
"1900","Unity and Diversity "," H. Goedicke and J.J.M. Roberts, eds., Essays in the History, Literature and Religion of the Ancient Near East   ",NULL,NULL
"1901","Univ. "," university   ",NULL,NULL
"1902","UNL "," G. Pettinato, Untersuchungen zur neusumerischen Landwirtschaft I, 1. und 2. Teil (Naples 1967)   ",NULL,NULL
"1903","unpubl. "," unpublished   ",NULL,NULL
"1904","UNT (aka Waetzoldt Textilindustrie, Textilindustrie) "," H. Waetzoldt, Untersuchtungen zur neusumerischen Textilindustrie (Rom 1972)   ",NULL,NULL
"1905","Ur, Assur und Babylon "," H. Schmökel, Ur, Assur und Babylon, drei Jahrtausende im Zweistromland (Stuttgart 1955)   ",NULL,NULL
"1906","Ur III "," Ur III period   ",NULL,NULL
"1907","Ur III Temple "," R. Zettler, The Ur III Temple of Inanna at Nippur (= BBVO 11)   ",NULL,NULL
"1908","Ur III-Fischerei (aka R.K. Englund, Fischerei) "," R. Englund, Organisation und Verwaltung der Ur III-Fischerei (= BBVO 10)   ",NULL,NULL
"1909","Urbaba lff'. "," royal inscr.; Steible NBW 1, 134ff.   ",NULL,NULL
"1910","Urdukuga "," royal mscr.   ",NULL,NULL
"1911","Urdukuga 1 "," (StOr 49,34f.)   ",NULL,NULL
"1912","Urdukuga 2 "," (RIME 4,95  Urdukuga 2)  ",NULL,NULL
"1913","Urdukuga 3 "," (RIME 4,96  Urdukuga 3)  ",NULL,NULL
"1914","Urdun to Shulgi "," letter; Michalowski Correspondence 216ff.   ",NULL,NULL
"1915","Urenlilla to Ensi and Sanga "," letter; Ali Letters 105ff. B 10  ",NULL,NULL
"1916","Urnammu lff. "," royal inscr.; Steible NBW 2, 93ff   ",NULL,NULL
"1917","Urnanshe lff. "," royal inscr.; Steible ABW 1, 79ff   ",NULL,NULL
"1918","Urningirsu I lf'f. "," royal inscr.; Steible NBW 1, 123ff.   ",NULL,NULL
"1919","Urningirsu II lff. "," royal inscr.; Steible NBW 1, 360ff.   ",NULL,NULL
"1920","Urninmarki lf. "," royal inscr.; Steible NBW 2, 338   ",NULL,NULL
"1921","Urninurta 1 "," (StOr49,23)   ",NULL,NULL
"1922","Urninurta 2 "," (StOr 49,24)   ",NULL,NULL
"1923","Urninurta lff. "," royal inscr.,   ",NULL,NULL
"1924","Ursaga to a King "," letter; A. Falkenstein, ZA 44, lff.;Ali Letters 80ff. B 6  ",NULL,NULL
"1925","Uruammairabi "," lit. comp.; K. Volk, FAOS 18; M. Civil, Aula Or 1, 45ff.   ",NULL,NULL
"1926","Uruanna "," pharmaceutical series u2-uru-an-na = mashtakal   ",NULL,NULL
"1927","Uruinimgina lff. "," royal inscr.; Steible ABW 1, 278ff.   ",NULL,NULL
"1928","Uruk Lament "," lit. comp.; M.W. Green, JAOS 104, 253ff.   ",NULL,NULL
"1929","USC (aka USCARC) "," Museum siglum of the Archaeological Research Collection, University of Southern California   ",NULL,NULL
"1930","USP (aka UmmaSP) "," B. Foster, Umma in the Sargonic Period (= MCAAS 20)   ",NULL,NULL
"1931","UT "," C. Gordon, Ugaritic Textbook (= AnOr. 38, 1965, Reprint 1967)   ",NULL,NULL
"1932","Utah "," Owen, David 2000   ",NULL,NULL
"1933","UTI 3 (aka Umma Ist. 3,Ylldlz-Gomi Umma, UTAMI 3) "," F.Yildiz/T.Gomi Die Umma-Texte aus den Archäologischen Museen zu Istanbul, Ill (CDL Press 1993)   ",NULL,NULL
"1934","UTI 4 (aka Umma Ist. 4,Gomi-Yildlz Umma, UTAMI 4) "," T. Gomi and F. Ylldlz Die Umma-Texte aus den Archaologischen Museen zu Istanbul, IV   ",NULL,NULL
"1935","UTI 5 (aka Umma Ist. 5, UTAMI 5) "," Gomi, T. and Yildiz, F. 2000   ",NULL,NULL
"1936","UTI 6 (aka Umma Ist. 6, UTAMI 6) "," Gomi, T. and Yildiz, F. 2000   ",NULL,NULL
"1937","Utudug to Ilakniid "," letter, Ali Letters 124ff. B 15  ",NULL,NULL
"1938","Utuhegal Inscr. "," royal inscr.; RA 9, 113ff  and dupl., W. Römer, OrNS 54 274ff.  ",NULL,NULL
"1939","Utukku lemnutu "," incant. series; mss. M. Geller, M.W. Green   ",NULL,NULL
"1940","UVB "," Vorläufiger Bericht über die . . . Ausgrabungen in Uruk-Warka (1-11 in  ABAW, 1930-1940; 12 ff. in  ADOG 1956 ff.) ",NULL,NULL
"1941","VA "," Museum siglum of the Vorderasiatisches Museum, Berlin (Vorderasiatische Abteilung, Ass. = Assur)   ",NULL,NULL
"1942","VAB "," Vorderasiatische Bibliothek (Leipzig 1907 ff.)   ",NULL,NULL
"1943","VAMZ "," Vjesnik Arheoloskog Muzeja u Zagrebu (Zagreb)   ",NULL,NULL
"1944","var(s). "," variant(s)   ",NULL,NULL
"1945","VAS "," Vorderasiatische Schriftdenkmaler   ",NULL,NULL
"1946","VAT "," Museum siglum of the Vorderasiatisches Museum, Berlin (Vorderasiatische Abteilung. Tontafeln)   ",NULL,NULL
"1947","VBoT "," A. Götze, Verstreute Boghazköi-Texte (Marburg 1930)   ",NULL,NULL
"1948","VDI "," Vestnik drevnej istorii (Moscow 1937 ff.)   ",NULL,NULL
"1949","VE "," Vocabulario di Ebla (= MEE 4, 1982)   ",NULL,NULL
"1950","Venus "," S. H. Langdon & J. K. Fotheringham, The Venus Tablets of Ammizaduga (Oxford 1928)   ",NULL,NULL
"1951","vers. "," version   ",NULL,NULL
"1952","Vertraege (aka Verträge) "," J. Friedrich, Staatsverträge des Hatti-Reiches (I= MVAG 31, 1926; II = MVAG 34/1, 1930)   ",NULL,NULL
"1953","Viehhaltung "," F. R. Kraus, Staatliche Viehhaltung im altbabylonischen Lande Larsa, Mededelingen d. Koninklijke Nederlandse Akademie van Wetenschapen, Afd. Letterkunde, Nieuwe reeks, 29/V (Amsterdam 1966)   ",NULL,NULL
"1954","villa royale "," L. Heuzey, Une villa royale chaldéene vers l'an 4000 avant notre ère d'après les levés et les notes de M. de Sarzec (Paris 1900)   ",NULL,NULL
"1955","VIO "," Veroffentlichungen des Instituts für Orientforschung (Berlin)   ",NULL,NULL
"1956","Virolleaud Fragments "," C. Virolleaud, Fragments de textes divinatoires assyriens du Musée Britannique, 1903   ",NULL,NULL
"1957","VM "," Museum siglum  Collection de M. Valère Mabille  ",NULL,NULL
"1958","VN "," V. K. Sileijko, Votivnyja nadpisi sumerijskih pravitelej (St. Petersburg 1915)   ",NULL,NULL
"1959","VO (aka Vicino Oriente, VicOr., ViOr) "," Vicino Oriente. Annuario dell'Istituto di Studi del Vicino Oriente, Università; di Roma (Rome 1978 ff.)   ",NULL,NULL
"1960","voc. "," vocabulary   ",NULL,NULL
"1961","Vögel (aka A. Salonen, Vögel) "," A. Salonen, Vögel und Vogelfang im alten Mesopotamien (Helsinki 1973), (=AASF B 180)   ",NULL,NULL
"1962","vol(s). "," volume(s)   ",NULL,NULL
"1963","VS "," Vorderasiatische Schriftdenkmäler der (Königlichen) Museen zu Berlin (Berlin 1907 ff.)   ",NULL,NULL
"1964","VT (aka SVT) "," Vetus Testamentum (Leiden 1951 ff.), S = Supplements (1953 ff.)   ",NULL,NULL
"1965","W. "," field numbers of tablets excavated at Warka   ",NULL,NULL
"1966","w/n "," without number   ",NULL,NULL
"1967","Waffen (aka E. Salonen, Waffen) "," E. Salonen, Die Waffen der alten Mesopotamier (Helsinki 1965), (= StOr33)   ",NULL,NULL
"1968","Wagenpferde "," E. Ebeling, Bruchstücke einer mittelassyrischen Vorschriftensammlung fur die Akklimatisierung und Trainierung von Wagenpferden (= VIO 7)   ",NULL,NULL
"1969","Waradsin 01 "," (StOr 49, 84f.; RIME 4  Waradsin 18)  ",NULL,NULL
"1970","Waradsin 02 "," (StOr 49, 85; RIME 4  Waradsin 25)  ",NULL,NULL
"1971","Waradsin 03 "," (StOr 49, 86; RIME 4  Waradsin 9)  ",NULL,NULL
"1972","Waradsin 04 "," (StOr 49, 86f.; RIME 4  Waradsin 19)  ",NULL,NULL
"1973","Waradsin 05 "," (StOr 49, 87f.; RIME 4  Waradsin 11)  ",NULL,NULL
"1974","Waradsin 06 "," (StOr 49, 88; RIME 4  Waradsin 12)  ",NULL,NULL
"1975","Waradsin 07 "," (StOr 49, 89f.; RIME 4  Waradsin 22)  ",NULL,NULL
"1976","Waradsin 08 "," (StOr 49, 91f.; RIME 4  Waradsin 27)  ",NULL,NULL
"1977","Waradsin 09 "," (StOr 49, 93f.; RIME 4  Waradsin 6)  ",NULL,NULL
"1978","Waradsin 10 "," (StOr 49, 95; RIME 4  Waradsin 16)  ",NULL,NULL
"1979","Waradsin 11 "," (StOr 49, 97; RIME 4  Waradsin 10)  ",NULL,NULL
"1980","Waradsin 12 "," (StOr 49 98f. RIME 4  Waradsin 23)  ",NULL,NULL
"1981","Waradsin 13 "," (StOr 49, 100, RIME 4  Waradsin 3)  ",NULL,NULL
"1982","Waradsin 14 "," (StOr 49, 101, RIME 4  Waradsin 1)  ",NULL,NULL
"1983","Waradsin 15 "," (StOr 49, 102; RIME 4  Waradsin 24)  ",NULL,NULL
"1984","Waradsin 16 "," (StOr 49, 103; RIME 4  Waradsin 4)  ",NULL,NULL
"1985","Waradsin 17 "," (StOr 49, 103f.; RIME 4  Waradsin 26)  ",NULL,NULL
"1986","Waradsin 18 "," (StOr 49, 10Sf.; RIME 4  Waradsin 20)  ",NULL,NULL
"1987","Waradsin 19 "," (StOr 49, 106ff.; RIME 4  Waradsin 15)  ",NULL,NULL
"1988","Waradsin 20 "," (StOr 49, 117; RIME 4  Waradsin 30)  ",NULL,NULL
"1989","Waradsin 21 "," (StOr 49, 117; RIME 4  Waradsin 31)  ",NULL,NULL
"1990","Waradsin 22 and 24 "," (StOr49,118; RIME4  Waradsin 32)  ",NULL,NULL
"1991","Waradsin 23 "," (StOr 49, 118; RIME 4  Waradsin 33)  ",NULL,NULL
"1992","Waradsin 26 "," (StOr 49, 119; RIME 4  Waradsin 7)  ",NULL,NULL
"1993","Waradsin 27 "," (StOr 49, 120f.; RIME 4  Waradsin 14)  ",NULL,NULL
"1994","Waradsin 28 "," (StOr 49, 122ff.; RIME 4  Waradsin 13)  ",NULL,NULL
"1995","Waradsin 29 "," (StOr 49, 126ff.; RIME 4  Waradsin 21)  ",NULL,NULL
"1996","Waradsin 30 "," (StOR 49, 132; RIME 4  Waradsin 2)  ",NULL,NULL
"1997","Waradsin 31 "," (StOr 49, 133; RIME 4  Waradsin 2001)  ",NULL,NULL
"1998","Waradsin 32 "," joined by Frayne to Waradsin 18   ",NULL,NULL
"1999","Waradsin 33 "," (StOr 49, 133; RIME 4  Waradsin 28)  ",NULL,NULL
"2000","Waradsin 34 "," (StOr 49, 134; RIME 4  Silliadad 2)  ",NULL,NULL
"2001","Waradsin 36 "," joined by Frayne to Waradsin 18   ",NULL,NULL
"2002","Waradsin 37 "," (StOr 49, 137f.; RIME 4  Rimsin 14)  ",NULL,NULL
"2003","Waradsin 38 "," (StOr 49, 138f.; RIME 4  Waradsin 1001)  ",NULL,NULL
"2004","Waradsin 39 "," (StOr 49, 140f.; RIME 4  Waradsin 17)  ",NULL,NULL
"2005","Waradsin 3S "," (StOr 49, 134f., RIME 4  Waradsin 1002)  ",NULL,NULL
"2006","Waradsin 40 "," (RIME 4, 208  Waradsin 5)  ",NULL,NULL
"2007","Waradsin 41 "," (RIME 4, 211f.  Waradsin 8)  ",NULL,NULL
"2008","Waradsin 42 "," (RIME 4, 254f.  Waradsin 29)  ",NULL,NULL
"2009","Waradsin 43 "," (RIME 4, 261f.  Waradsin 1003)  ",NULL,NULL
"2010","Waradsin lff. "," royal inscr.;   ",NULL,NULL
"2011","Waradsin seals a-d "," (StOr 49, 118 25; RIME 4  Waradsin 2002-2005) ",NULL,NULL
"2012","Warka 109 B70 Uruk "," Strassmaier. J. 1882   ",NULL,NULL
"2013","WAS (aka Cat II/III; CSBM Il/Ill) "," D. Collon, Catalogue of the Western Asiatic Seals in the British Museum. Cylinder Seals, Il/Ill (London 1982/1986)   ",NULL,NULL
"2014","Wasserfahrzeuge "," A. Salonen, Die Wasserfahrzeuge in Babylonien (=StOr 8)   ",NULL,NULL
"2015","WAW "," Writings from the Ancient World, Society of Biblical Literature, Atlanta   ",NULL,NULL
"2016","WbM (aka WBMyth.) "," Wörterbuch der Mythologie, l. Abt.  Die alten Kulturvölker (Stuttgart 1962- 1965 ff.)  ",NULL,NULL
"2017","WF "," A. Deimel, Wirtschaftstexte aus Fara (= WVDOG 45, 1924)   ",NULL,NULL
"2018","WGAV "," J. Harmatta/G. Komoróczy, (eds.), Wirtschaft und Gesellschaft im Alten Vorderasien, (Budapest 1976)   ",NULL,NULL
"2019","Wirtschaft und Gesellschaft von Ebla "," Wirtschaft und Gesellschaft von Ebla, ed. H. Waetzoldt and H. Hauptmann (= HSAO 2)   ",NULL,NULL
